(23, 4)
(7, 35)
(48, 12)
(6, 18)
(9, 41)
(17, 8)
(2, 49)
(12, 7)
(5, 28)
(20, 3)
(7, 22)
(10, 16)
(25, 9)
(16, 2)
(11, 33)
(4, 10)
(21, 15)
(3, 14)
(9, 5)
(8, 46)
(13, 7)
(6, 16)
(18, 4)
(1, 25)
(22, 9)
(14, 11)
(5, 20)
(12, 8)
(2, 17)
(7, 10)
(19, 3)
(15, 6)
(10, 21)
(1, 14)
(13, 8)
(4, 16)
(23, 5)
(11, 9)
(8, 20)
(25, 2)
(16, 7)
(6, 13)
(17, 4)
(9, 12)
(15, 10)
(2, 24)
(7, 18)
(21, 1)
(14, 3)
(11, 15)
(5, 8)
(10, 19)
(3, 16)
(22, 7)
(8, 11)
(12, 6)
(19, 9)
(1, 23)
(13, 5)
(4, 15)
(9, 2)
(16, 10)
(7, 21)
(18, 8)
(6, 14)
(23, 3)
(11, 12)
(2, 19)
(10, 8)
(15, 25)
(20, 7)
(5, 13)
(12, 4)
(17, 1)
(8, 16)
(9, 11)
(3, 20)
(14, 6)
(1, 18)
(22, 5)
(13, 10)
(4, 21)
(19, 8)
(7, 15)
(16, 3)
(10, 12)
(25, 6)
(11, 7)
(2, 23)
(8, 19)
(6, 9)
(14, 4)
(5, 17)
(12, 10)
(21, 2)
(3, 24)
(9, 13)
(15, 8)
(7, 20)
(18, 1)
